,steps,metric,training_loss,validation_loss,validation_acc
2467,2419,training_loss,5.011746406555176,,
2468,2420,training_loss,40.34992980957031,,
2469,2421,training_loss,6.088059902191162,,
2470,2422,training_loss,10.790716171264648,,
2471,2423,training_loss,4.99650239944458,,
2472,2424,training_loss,47.39426803588867,,
2473,2425,training_loss,15.236210823059082,,
2474,2426,training_loss,13.649898529052734,,
2475,2427,training_loss,6.208611488342285,,
2476,2428,training_loss,5.255636692047119,,
2477,2429,training_loss,6.4349684715271,,
2478,2430,training_loss,51.46086883544922,,
2479,2431,training_loss,5.960799694061279,,
2480,2432,training_loss,5.366695404052734,,
2481,2433,training_loss,5.290246963500977,,
2482,2434,training_loss,7.278707027435303,,
2483,2435,training_loss,11.097210884094238,,
2484,2436,training_loss,43.30699920654297,,
2485,2437,training_loss,6.403687953948975,,
2486,2438,training_loss,6.707735538482666,,
2487,2439,training_loss,5.301233768463135,,
2488,2440,training_loss,5.715834617614746,,
2489,2441,training_loss,8.391215324401855,,
2490,2442,training_loss,6.286671161651611,,
2491,2443,training_loss,6.625795841217041,,
2492,2444,training_loss,18.66227912902832,,
2493,2445,training_loss,5.785006999969482,,
2494,2446,training_loss,5.639477729797363,,
2495,2447,training_loss,5.675858497619629,,
2496,2448,training_loss,7.265352725982666,,
2497,2449,training_loss,3.660156011581421,,
2498,2450,training_loss,42.01192855834961,,
2499,2451,training_loss,10.618197441101074,,
2500,2452,training_loss,4.968991756439209,,
2501,2453,training_loss,4.851786136627197,,
2502,2454,training_loss,5.568509101867676,,
2503,2455,training_loss,11.718598365783691,,
2504,2456,training_loss,5.6156907081604,,
2505,2457,training_loss,14.02904987335205,,
2506,2458,training_loss,38.3636360168457,,
2507,2459,training_loss,5.239300727844238,,
2508,2460,training_loss,8.392614364624023,,
2509,2461,training_loss,11.395374298095703,,
2510,2462,training_loss,20.235258102416992,,
2511,2463,training_loss,5.4620680809021,,
2512,2464,training_loss,7.107368469238281,,
2513,2465,training_loss,5.794082164764404,,
2514,2466,training_loss,5.820065975189209,,
2515,2467,training_loss,5.913894176483154,,
2516,2468,training_loss,11.095786094665527,,
2517,2469,training_loss,6.509654998779297,,
2518,2470,training_loss,7.4339470863342285,,
2519,2471,training_loss,6.911694526672363,,
2520,2472,training_loss,5.490700721740723,,
2521,2473,training_loss,6.61544132232666,,
2522,2474,training_loss,5.814760684967041,,
2523,2475,training_loss,5.432999134063721,,
2524,2476,training_loss,14.82409954071045,,
2525,2477,training_loss,6.1654767990112305,,
2526,2478,training_loss,5.511435508728027,,
2527,2479,training_loss,4.817234516143799,,
2528,2480,training_loss,11.120139122009277,,
2529,2481,training_loss,5.68393087387085,,
2530,2482,training_loss,8.06882095336914,,
2531,2483,training_loss,42.551841735839844,,
2532,2484,training_loss,7.617506504058838,,
2533,2485,training_loss,5.928764343261719,,
2534,2486,training_loss,43.37550735473633,,
2535,2487,training_loss,5.924262523651123,,
2536,2488,training_loss,6.7235260009765625,,
2537,2489,training_loss,5.137988567352295,,
2538,2490,training_loss,6.794344425201416,,
2539,2491,training_loss,6.050110816955566,,
2540,2492,training_loss,6.145458221435547,,
2541,2493,training_loss,38.13551330566406,,
2542,2494,training_loss,6.113037586212158,,
2543,2495,training_loss,10.468742370605469,,
2544,2496,training_loss,7.228357315063477,,
2545,2497,training_loss,6.396186351776123,,
2546,2498,training_loss,6.322319030761719,,
2547,2499,training_loss,6.470593452453613,,
2548,2500,validation_loss,6.697506810996081,,
2549,2500,validation_acc,0.9005952380952381,,
2550,2500,training_loss,6.430656909942627,,
2551,2501,training_loss,81.81999206542969,,
2552,2502,training_loss,5.410048484802246,,
2553,2503,training_loss,5.800595283508301,,
2554,2504,training_loss,6.14929723739624,,
2555,2505,training_loss,5.852275848388672,,
2556,2506,training_loss,7.093930244445801,,
2557,2507,training_loss,6.464791297912598,,
2558,2508,training_loss,6.0090813636779785,,
2559,2509,training_loss,5.794787883758545,,
2560,2510,training_loss,7.038904666900635,,
2561,2511,training_loss,6.608101844787598,,
2562,2512,training_loss,11.193197250366211,,
2563,2513,training_loss,73.79731750488281,,
2564,2514,training_loss,6.157383441925049,,
2565,2515,training_loss,4.998700141906738,,
2566,2516,training_loss,5.260773181915283,,
2567,2517,training_loss,6.258153915405273,,
2568,2518,training_loss,14.088164329528809,,
2569,2519,training_loss,7.010908603668213,,
2570,2520,training_loss,18.42052459716797,,
2571,2521,training_loss,5.283459663391113,,
2572,2522,training_loss,51.12820816040039,,
2573,2523,training_loss,5.222337245941162,,
2574,2524,training_loss,7.372886657714844,,
2575,2525,training_loss,11.858071327209473,,
2576,2526,training_loss,5.307804584503174,,
2577,2527,training_loss,5.665621757507324,,
2578,2528,training_loss,10.365056037902832,,
2579,2529,training_loss,6.189479351043701,,
2580,2530,training_loss,5.456958293914795,,
2581,2531,training_loss,6.1810302734375,,
2582,2532,training_loss,9.603765487670898,,
2583,2533,training_loss,5.179960250854492,,
2584,2534,training_loss,5.349818229675293,,
2585,2535,training_loss,8.11585521697998,,
2586,2536,training_loss,6.067413330078125,,
2587,2537,training_loss,5.751896381378174,,
2588,2538,training_loss,6.671302795410156,,
2589,2539,training_loss,5.3958210945129395,,
2590,2540,training_loss,5.467503070831299,,
2591,2541,training_loss,6.063020706176758,,
2592,2542,training_loss,6.684560298919678,,
2593,2543,training_loss,5.23012638092041,,
2594,2544,training_loss,6.393745422363281,,
2595,2545,training_loss,10.691264152526855,,
2596,2546,training_loss,5.667222499847412,,
2597,2547,training_loss,5.0974040031433105,,
2598,2548,training_loss,5.241146087646484,,
2599,2549,training_loss,9.834113121032715,,
2600,2550,training_loss,6.073120594024658,,
2601,2551,training_loss,6.229864597320557,,
2602,2552,training_loss,38.33437728881836,,
2603,2553,training_loss,5.349117279052734,,
2604,2554,training_loss,5.407506465911865,,
2605,2555,training_loss,7.177533149719238,,
2606,2556,training_loss,5.642764568328857,,
2607,2557,training_loss,13.477267265319824,,
2608,2558,training_loss,10.793037414550781,,
2609,2559,training_loss,5.250030994415283,,
2610,2560,training_loss,6.321442604064941,,
2611,2561,training_loss,5.46688985824585,,
2612,2562,training_loss,42.29184341430664,,
2613,2563,training_loss,11.874629974365234,,
2614,2564,training_loss,6.098544120788574,,
2615,2565,training_loss,41.96337890625,,
2616,2566,training_loss,11.541903495788574,,
2617,2567,training_loss,42.41521453857422,,
2618,2568,training_loss,15.021489143371582,,
2619,2569,training_loss,10.21186351776123,,
2620,2570,training_loss,12.316949844360352,,
2621,2571,training_loss,5.326742649078369,,
2622,2572,training_loss,6.565052032470703,,
2623,2573,training_loss,5.296202659606934,,
2624,2574,training_loss,6.8204779624938965,,
2625,2575,training_loss,5.112189769744873,,
2626,2576,training_loss,4.744153022766113,,
2627,2577,training_loss,4.735228061676025,,
2628,2578,training_loss,5.0234503746032715,,
2629,2579,training_loss,6.223763942718506,,
2630,2580,training_loss,5.739673137664795,,
2631,2581,training_loss,5.566667079925537,,
2632,2582,training_loss,5.666904926300049,,
2633,2583,training_loss,5.403055191040039,,
2634,2584,training_loss,6.1982550621032715,,
2635,2585,training_loss,6.182446002960205,,
2636,2586,training_loss,6.440550804138184,,
2637,2587,training_loss,8.336941719055176,,
2638,2588,training_loss,6.210042476654053,,
2639,2589,training_loss,4.957036018371582,,
2640,2590,training_loss,6.7522759437561035,,
2641,2591,training_loss,5.337824821472168,,
2642,2592,training_loss,5.396309852600098,,
2643,2593,training_loss,12.013649940490723,,
2644,2594,training_loss,13.94166374206543,,
2645,2595,training_loss,6.03626823425293,,
2646,2596,training_loss,5.921299934387207,,
2647,2597,training_loss,38.02771759033203,,
2648,2598,training_loss,5.56325101852417,,
2649,2599,training_loss,4.135237216949463,,
2650,2600,validation_loss,6.23102183666795,,
2651,2600,validation_acc,0.9020833333333333,,
2652,2600,training_loss,5.530634880065918,,
2653,2601,training_loss,5.359024524688721,,
2654,2602,training_loss,7.209022045135498,,
2655,2603,training_loss,6.654970645904541,,
2656,2604,training_loss,4.959420204162598,,
2657,2605,training_loss,7.260143280029297,,
2658,2606,training_loss,4.892057418823242,,
2659,2607,training_loss,5.288509368896484,,
2660,2608,training_loss,4.52277946472168,,
2661,2609,training_loss,10.660107612609863,,
2662,2610,training_loss,5.30476713180542,,
2663,2611,training_loss,18.314725875854492,,
2664,2612,training_loss,5.30281400680542,,
2665,2613,training_loss,5.739793300628662,,
2666,2614,training_loss,5.685068607330322,,
2667,2615,training_loss,5.441178798675537,,
2668,2616,training_loss,6.002737522125244,,
2669,2617,training_loss,5.933835983276367,,
2670,2618,training_loss,5.389839172363281,,
2671,2619,training_loss,5.782456874847412,,
2672,2620,training_loss,11.344568252563477,,
2673,2621,training_loss,6.24094820022583,,
2674,2622,training_loss,6.369019508361816,,
2675,2623,training_loss,12.300520896911621,,
2676,2624,training_loss,10.360527038574219,,
2677,2625,training_loss,39.49605178833008,,
2678,2626,training_loss,37.522178649902344,,
2679,2627,training_loss,13.230257987976074,,
2680,2628,training_loss,4.650373458862305,,
2681,2629,training_loss,4.981806755065918,,
2682,2630,training_loss,4.901170253753662,,
2683,2631,training_loss,6.125499725341797,,
2684,2632,training_loss,42.72572708129883,,
2685,2633,training_loss,5.712235927581787,,
2686,2634,training_loss,5.114394187927246,,
2687,2635,training_loss,15.043699264526367,,
2688,2636,training_loss,5.319760799407959,,
2689,2637,training_loss,5.211971282958984,,
2690,2638,training_loss,4.361724853515625,,
2691,2639,training_loss,6.871731758117676,,
2692,2640,training_loss,5.395750045776367,,
2693,2641,training_loss,10.071049690246582,,
2694,2642,training_loss,5.782751560211182,,
2695,2643,training_loss,5.056607246398926,,
2696,2644,training_loss,40.8319206237793,,
2697,2645,training_loss,42.11000442504883,,
2698,2646,training_loss,5.9441914558410645,,
2699,2647,training_loss,13.380675315856934,,
2700,2648,training_loss,4.487840175628662,,
2701,2649,training_loss,3.8217291831970215,,
2702,2650,training_loss,11.034890174865723,,
2703,2651,training_loss,5.906691074371338,,
2704,2652,training_loss,6.503064155578613,,
2705,2653,training_loss,40.08540344238281,,
2706,2654,training_loss,4.496042251586914,,
2707,2655,training_loss,6.384352207183838,,
2708,2656,training_loss,50.49884033203125,,
2709,2657,training_loss,6.452292442321777,,
2710,2658,training_loss,36.900882720947266,,
2711,2659,training_loss,5.955461502075195,,
2712,2660,training_loss,5.561206340789795,,
2713,2661,training_loss,12.32048511505127,,
2714,2662,training_loss,5.707634925842285,,
2715,2663,training_loss,5.295719623565674,,
2716,2664,training_loss,12.17068099975586,,
2717,2665,training_loss,6.1073150634765625,,
2718,2666,training_loss,5.260168552398682,,
2719,2667,training_loss,4.233499526977539,,
2720,2668,training_loss,12.942551612854004,,
2721,2669,training_loss,6.1717848777771,,
2722,2670,training_loss,4.478137493133545,,
2723,2671,training_loss,5.147212505340576,,
2724,2672,training_loss,5.842643737792969,,
2725,2673,training_loss,5.908136367797852,,
2726,2674,training_loss,5.0761399269104,,
2727,2675,training_loss,4.409157752990723,,
2728,2676,training_loss,9.734402656555176,,
2729,2677,training_loss,6.547116279602051,,
2730,2678,training_loss,4.65395450592041,,
2731,2679,training_loss,6.643739223480225,,
2732,2680,training_loss,5.492968559265137,,
2733,2681,training_loss,5.878146648406982,,
2734,2682,training_loss,5.920928478240967,,
2735,2683,training_loss,6.128039836883545,,
2736,2684,training_loss,5.148321628570557,,
2737,2685,training_loss,4.966059684753418,,
2738,2686,training_loss,4.812093257904053,,
2739,2687,training_loss,15.202606201171875,,
2740,2688,training_loss,10.36355209350586,,
2741,2689,training_loss,5.5468316078186035,,
2742,2690,training_loss,49.720462799072266,,
2743,2691,training_loss,5.712303638458252,,
2744,2692,training_loss,4.863866329193115,,
2745,2693,training_loss,5.106294631958008,,
2746,2694,training_loss,6.870480537414551,,
2747,2695,training_loss,6.5724687576293945,,
2748,2696,training_loss,37.606109619140625,,
2749,2697,training_loss,6.101738929748535,,
2750,2698,training_loss,6.037502288818359,,
2751,2699,training_loss,4.393988132476807,,
2752,2700,validation_loss,6.159980496994102,,
2753,2700,validation_acc,0.9035714285714286,,
2754,2700,training_loss,6.343149185180664,,
2755,2701,training_loss,5.655843734741211,,
2756,2702,training_loss,5.721877098083496,,
2757,2703,training_loss,4.929360389709473,,
2758,2704,training_loss,4.774912357330322,,
2759,2705,training_loss,5.664233207702637,,
2760,2706,training_loss,15.225330352783203,,
2761,2707,training_loss,5.368096351623535,,
2762,2708,training_loss,5.808690547943115,,
2763,2709,training_loss,5.3922438621521,,
2764,2710,training_loss,12.623089790344238,,
2765,2711,training_loss,4.843135833740234,,
2766,2712,training_loss,42.66199493408203,,
2767,2713,training_loss,5.782711505889893,,
2768,2714,training_loss,10.363174438476562,,
2769,2715,training_loss,5.044096946716309,,
2770,2716,training_loss,6.471467971801758,,
2771,2717,training_loss,10.11937427520752,,
2772,2718,training_loss,4.650234222412109,,
2773,2719,training_loss,5.866334915161133,,
2774,2720,training_loss,6.022287368774414,,
2775,2721,training_loss,41.67056655883789,,
2776,2722,training_loss,12.766179084777832,,
2777,2723,training_loss,5.145216941833496,,
2778,2724,training_loss,5.303610324859619,,
2779,2725,training_loss,4.832184314727783,,
2780,2726,training_loss,41.4449577331543,,
